codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
2905.0,CENTRO DE EDUCACION MILITAR - CEMIL,2013,3.37,TDA,IES Padre Nivel Formacin,TyT,14.1,0.0,9.55,14.45,1.6629,15.1455
3102.0,INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-,2013,38.81,TDA,IES Padre Nivel Formacin,TyT,43.65,24.1,38.81,23.58,17.39,30.707487
3102.0,INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-,2013,18.14,TDA,IES Padre Nivel Formacin,Universitario,15.35,26.49,32.67,24.3667,16.7115,21.596102
3103.0,COLEGIO MAYOR DE BOLIVAR,2013,20.26,TDA,IES Padre Nivel Formacin,TyT,19.87,11.34,10.9,26.29,15.2031,17.803225
3104.0,COLEGIO MAYOR DEL CAUCA,2013,12.0,TDA,IES Padre Nivel Formacin,TyT,14.41,10.9,22.13,16.5433,2.9191,14.977085
3107.0,INSTITUCIN UNIVERSITARIA PASCUAL BRAVO,2013,22.72,TDA,IES Padre Nivel Formacin,TyT,26.03,26.45,22.55,18.8933,6.2479,23.181467
3107.0,INSTITUCIN UNIVERSITARIA PASCUAL BRAVO,2013,9.92,TDA,IES Padre Nivel Formacin,Universitario,17.86,9.8,14.29,20.0433,5.2475,14.339675
3114.0,ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA,2013,18.46,TDA,IES Padre Nivel Formacin,TyT,14.22,22.74,29.79,19.37,6.0481,19.635103
3115.0,INSTITUTO TECNOLOGICO DEL PUTUMAYO,2013,22.22,TDA,IES Padre Nivel Formacin,TyT,44.59,80.31,67.6,25.5567,16.5835,41.091854
3115.0,INSTITUTO TECNOLOGICO DEL PUTUMAYO,2013,27.21,TDA,IES Padre Nivel Formacin,Universitario,21.57,41.86,25.96,26.7933,15.8445,26.38784
3117.0,INSTITUCIN UNIVERSITARIA ITSA,2013,46.59,TDA,IES Padre Nivel Formacin,TyT,56.55,32.07,39.51,40.9033,17.779,40.760628
3201.0,UNIDADES TECNOLOGICAS DE SANTANDER,2013,19.56,TDA,IES Padre Nivel Formacin,TyT,29.87,19.04,32.29,37.14,16.985,27.489964
3201.0,UNIDADES TECNOLOGICAS DE SANTANDER,2013,8.57,TDA,IES Padre Nivel Formacin,Universitario,64.0,8.33,22.22,39.6233,21.2508,22.993698
